"","A1_FakiAligned","A2_FakiAligned","A2_UntxAligned","A3_FakiAligned","A3_UntxAligned","B1_FakiAligned","B1_UntxAligned","B2_FakiAligned","B3_FakiAligned","B3_UntxAligned","FAKinh_1_ItgB4Aligned","FAKinh_2_ItgB4Aligned","FAKinh_3_ItgB4Aligned","UnTx1_ItgB4Aligned","UnTx3_ItgB4Aligned"
"Asnsd1",2036,2418,3264,2093,3414,3110,2599,3963,2328,4299,4943,8350,5109,2506,3514
"Aspa",649,390,1179,592,625,2001,1055,1774,1778,1046,278,36,653,24,509
"Aspdh",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Aspg",0,10,3,0,32,38,54,22,52,51,12,36,47,35,22
"Asph",10447,12202,10616,12269,13714,11789,8859,13691,11144,12984,10994,11987,11473,4680,7947
"Asphd1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asphd2",738,588,0,411,285,0,0,4,0,1,0,0,0,0,30
"Aspm",566,1072,851,796,2739,359,988,1383,269,1337,172,471,264,491,859
"Aspn",14574,14089,1691,20985,5086,14,20,8,26,27,68,43,31,1,211
"Asprv1",2,0,54,6,178,31,37,58,25,43,24,32,16,82,126
"Aspscr1",2384,2678,4804,2444,3735,4509,3565,4791,4106,4118,4669,4660,4816,5147,4919
"Asrgl1",565,850,1296,591,1098,1248,1239,1474,1084,1553,772,737,993,729,1224
"Ass1",2,2,1,1,3,2,0,1,1,0,7,3,4,3,3
"Aste1",997,1287,1017,1059,1148,1250,1018,1624,1298,1104,1324,1143,1312,1099,1151
"Astl",0,7,1,9,69,0,0,0,0,5,4,14,70,17,9
"Astn1",5,50,0,56,9,0,0,0,0,0,0,0,0,0,0
"Astn2",286,231,40,188,436,30,17,9,4,20,115,44,55,26,234
"Asun",3339,3320,5672,3846,5524,4765,5253,5037,4709,5961,4035,3007,4480,4249,4742
"Asxl1",2015,2502,4077,2528,4480,3925,3526,3437,3434,3508,1918,2138,2451,2731,4314
"Asxl2",1737,2301,2309,2100,2961,2771,1956,4234,2747,2604,1603,2406,2210,1385,2497
"Asxl3",14,10,0,6,20,1,1,1,4,0,0,0,0,0,0
"Asz1",44,74,0,0,2,1,0,0,0,0,0,0,0,0,0
"Atad1",3977,4684,5022,4479,5441,6760,4134,7009,6607,5761,6800,6535,6766,3190,2963
"Atad2",5358,6718,15286,7916,15154,13512,18380,18220,12193,20047,6640,8109,8824,6957,9910
"Atad2b",1803,2286,1531,2299,2839,2935,2236,2449,2686,2339,1945,1990,1971,630,1310
"Atad3a",2046,2074,3523,2273,2756,4554,3559,3885,4408,3664,4267,2713,4423,4851,4020
"Atad5",1092,1063,1166,1239,3262,1555,1874,1962,1558,1971,745,1126,896,562,1216
"Atat1",941,765,666,697,1040,809,764,779,913,750,851,486,762,853,820
"Atcay",0,0,1,6,4,2,12,4,7,1,11,2,15,0,10
"Ate1",3336,3704,4845,4150,4237,5801,4334,6670,5654,4490,5223,5020,5926,3505,3612
"Atf1",1874,1813,2251,2184,2544,2632,2026,2710,2472,2212,1982,1595,2196,1547,1972
"Atf2",6691,6688,6378,8545,8709,8879,6483,8841,8687,7627,7977,7561,9350,4587,5692
"Atf3",81550,94264,254157,75240,126626,358811,223931,435541,338704,232688,298821,305036,336413,274523,223606
"Atf4",39604,23955,47730,45239,36358,67206,41269,47414,62914,41663,61970,43655,76840,55854,46337
"Atf5",224,267,270,345,457,192,239,124,178,123,147,163,139,289,239
"Atf6",3039,7767,13598,4411,12334,19202,12496,15557,18038,15757,19271,25442,21820,15447,14525
"Atf6b",1992,3967,4903,1769,3953,4100,3691,4943,4068,4318,3442,4902,3697,6837,6052
"Atf7",888,716,739,929,950,801,652,935,859,760,507,720,945,910,715
"Atf7ip",2803,5432,3557,3288,4300,2760,2421,3271,2757,2522,1969,2450,3038,1861,2234
"Atf7ip2",0,0,1,0,13,8,51,45,18,53,1,16,14,23,48
"Atg10",766,681,474,906,717,861,552,862,707,757,866,925,1062,396,521
"Atg12",3226,3883,5998,3854,5476,7658,5286,6456,6706,5722,4900,4806,6446,4580,4255
"Atg13",1968,3431,6799,2867,4849,6770,4457,6021,6403,5453,6172,6580,6537,7726,7580
"Atg14",2033,1876,2393,2668,2629,3170,2068,2949,2774,2523,2562,1938,3381,2093,1956
"Atg16l1",1593,1901,3000,2006,1977,2677,2290,2723,2895,2741,2220,2030,2924,2005,2079
"Atg16l2",1031,1032,699,1172,869,803,326,661,595,404,637,311,650,359,689
"Atg2a",1544,3468,3719,2491,4228,3983,3242,3455,4397,3222,2161,3035,3098,3915,3726
"Atg2b",1138,2556,3485,1582,2623,3113,2749,3236,2839,3015,2253,2113,2586,2702,3877
"Atg3",4259,4341,6364,5139,4887,12745,7187,7284,12282,6315,7568,5079,9697,5168,5198
"Atg4a",354,306,261,396,398,377,235,489,348,355,438,748,588,322,333
"Atg4b",2830,3009,3647,3297,3255,4232,2793,4095,4270,3383,4305,3911,4798,4082,3442
"Atg4c",359,571,448,531,1038,449,311,564,431,430,589,800,645,231,614
"Atg4d",923,1039,1875,790,1633,1863,1359,2276,1904,1878,1716,2028,1636,1443,1874
"Atg5",2270,2971,4319,2422,3827,4324,3429,5046,4186,4325,5180,6019,5061,3104,3986
"Atg7",1678,2292,2193,1877,1857,1859,1263,2243,1498,1641,1568,2086,1295,1907,2065
"Atg9a",1836,2737,2775,1737,2544,2082,1732,2557,2267,2133,1341,1950,1573,2362,1891
"Atg9b",0,9,7,0,35,10,21,8,6,3,15,34,4,20,22
"Athl1",1999,2301,1435,2317,1912,900,906,1160,747,743,671,652,696,834,1027
"Atic",424,447,285,399,588,335,308,432,303,418,368,270,334,517,525
"Atl1",556,373,198,589,534,294,235,358,310,445,320,348,490,607,361
"Atl2",4370,4294,10963,5112,7039,15900,9085,11819,14667,8181,10212,6333,12647,6498,6775
"Atl3",1310,1099,1431,1619,1952,1603,993,1771,1721,1381,1226,1149,1211,1314,676
"Atm",1556,2057,1752,2330,2485,3050,2006,3549,3450,3155,2981,2101,3125,659,1413
"Atmin",657,1699,1786,970,1375,1506,1286,1573,1404,1469,1376,1645,986,977,2269
"Atn1",577,771,776,844,1377,679,773,630,708,560,572,467,453,864,1012
"Atoh1",29,20,530,0,270,1571,386,2201,1498,994,375,257,446,68,183
"Atoh7",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Atoh8",844,533,1123,668,1525,963,1146,2524,856,2508,564,1152,628,386,1731
"Atox1",1884,1422,2314,1881,3862,2051,2118,2174,1621,2010,3583,3771,3641,2491,3551
"Atp10a",2027,3072,3852,2201,3827,2115,3030,3151,2024,2671,1956,2331,2473,6241,4554
"Atp10b",0,48,2715,15,1275,4580,2986,4359,4525,2952,691,474,428,507,691
"Atp10d",560,1290,1153,713,941,497,263,672,540,361,362,692,245,186,382
"Atp11a",4963,8404,11443,6149,10323,12290,8959,12176,12668,10259,7999,10214,9531,12696,10492
"Atp11b",5299,6834,8303,6600,9380,12401,8661,10974,11705,9390,7830,8221,11371,4540,6738
"Atp11c",2723,2361,1640,4213,4319,2689,1546,2799,2156,1880,1464,1682,1757,540,1419
"Atp12a",93,416,6847,47,3887,3778,4399,4819,2910,7157,9622,22309,8160,13074,9443
"Atp13a1",3103,4525,7657,3022,5487,7008,5752,7827,7206,6407,6098,6979,5670,8892,8165
"Atp13a2",1796,3701,4967,1788,4666,2826,2622,3818,2653,3528,3654,4918,3813,6927,5969
"Atp13a3",3947,5044,16061,6055,14398,26921,19197,21242,26968,20069,18626,15636,23931,10463,12230
"Atp13a4",0,0,313,0,178,66,448,315,94,313,147,17,40,104,34
"Atp13a5",96,30,171,138,141,57,130,284,97,123,147,116,61,360,95
"Atp1a1",3495,3565,7672,4969,9262,11301,6929,13223,11936,9504,7787,8760,9339,7038,7988
"Atp1a2",4229,4726,122,4975,2143,0,13,3,14,34,223,152,187,142,433
"Atp1a3",39,180,355,15,158,30,9,26,14,24,3,78,114,40,37
"Atp1a4",3,6,10,0,0,0,0,0,0,0,0,14,0,0,0
"Atp1b1",1141,1865,21938,1160,12968,25072,19612,38540,22981,25887,21376,33250,23256,14659,17953
"Atp1b2",352,571,16,715,796,7,20,11,34,27,161,2,66,136,244
"Atp1b3",11832,14187,11407,14070,14634,10417,8702,13334,9835,8699,9233,10520,11627,7891,7830
"Atp1b4",1,0,0,0,0,3,0,11,0,0,4,0,0,0,0
"Atp2a1",28,33,7,28,32,3,3,33,4,8,0,14,3,2,3
"Atp2a2",23410,26597,53179,31053,43434,55283,46150,44335,57259,44907,38158,29893,48595,55649,47596
"Atp2a3",2986,6388,1958,3787,4574,2568,1270,3482,2810,2531,690,890,1084,723,2533
"Atp2b1",6312,9602,5555,8275,9675,6359,3888,4877,6908,4050,4359,5325,7165,1273,4428
"Atp2b2",0,41,14,0,41,28,1,6,14,21,25,0,84,8,34
"Atp2b3",0,2,0,0,72,2,0,77,2,11,10,39,0,0,0
"Atp2b4",713,940,138,1004,1047,17,28,61,2,28,83,135,63,115,180
"Atp2c1",4796,8291,12769,7255,11152,17804,11216,19666,15318,15393,14388,19409,16341,11651,10994
"Atp2c2",0,48,621,13,251,815,280,1300,821,302,202,167,300,109,99
"Atp4a",28,20,1178,8,637,1037,1120,1785,916,1624,697,486,598,1223,1150
"Atp4b",0,0,0,0,2,0,0,0,0,0,0,0,0,12,2
"Atp5a1",31946,30665,42471,34197,42207,40604,34589,44281,38445,41126,42513,44334,47271,43502,42191
"Atp5b",42046,40771,86326,44935,68406,94865,72015,86097,91262,84804,88233,80939,101627,99218,88957
"Atp5c1",8988,7602,13139,10343,11991,11841,10510,13766,9953,13622,16052,17467,16071,13443,13311
"Atp5d",5617,4699,7867,5236,7625,6340,5973,7637,5418,6632,6917,8296,6528,7769,8989
"Atp5e",1138,914,1936,1218,2222,1227,1532,1719,971,1699,2442,2736,2041,1864,2516
"Atp5f1",3522,3654,6465,4101,5786,6885,5935,7701,5938,7605,8238,9111,8646,6667,7019
"Atp5g1",406,394,765,481,675,448,525,588,318,678,743,1125,716,773,859
"Atp5g2",6,12,6,12,11,14,8,9,9,11,12,14,10,13,17
"Atp5g3",4395,3762,8482,4340,7180,8009,7620,8938,6967,8470,9673,10348,9092,9831,9539
"Atp5h",783,714,1223,980,1272,920,1069,1188,646,1140,1394,1627,1388,1224,1618
"Atp5j",4169,3185,5048,4342,5077,4411,4233,5161,3688,4989,6169,6584,6226,4178,5831
"Atp5j2",1389,1053,2392,1352,2248,1847,2025,2290,1233,2320,2639,3062,2196,2117,2934
"Atp5k",260,194,437,267,529,325,432,438,239,464,424,560,378,357,622
"Atp5l",113,71,143,153,131,132,87,110,84,153,182,144,165,117,120
"Atp5o",1909,1623,2967,1778,2978,2094,2349,3127,1659,2737,3050,3724,2545,2910,3250
"Atp5s",660,718,1050,638,927,1378,1013,1518,1225,1609,1682,1663,1245,1033,1524
"Atp5sl",930,1005,1297,849,1130,1254,1067,1312,937,1443,1182,1333,1016,1220,1467
"Atp6ap1",12356,15314,16558,13275,15447,12473,10002,15735,12129,11587,11706,14171,11880,12855,11255
"Atp6ap1l",0,0,0,0,12,0,0,0,0,0,2,0,0,0,0
"Atp6ap2",13116,14143,23457,16544,20788,26289,20427,28104,24142,22337,18201,17776,22164,15711,16582
"Atp6v0a1",2275,3730,4378,2019,3579,4070,3411,4941,3599,3799,2644,3835,2955,4434,4210
"Atp6v0a2",1401,2886,2133,1350,2501,2303,1648,2552,2421,1985,2163,2372,2321,1986,1721
"Atp6v0a4",0,0,261,14,127,357,227,327,416,202,62,171,175,51,126
"Atp6v0b",5594,5220,6178,6181,7428,4437,4440,5154,4035,4824,5616,6861,6696,4718,5450
"Atp6v0c",54,45,65,46,64,37,29,29,35,41,63,39,51,43,59
"Atp6v0c-ps2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atp6v0d1",2502,3332,3636,3019,4564,3997,2996,4125,3241,3456,4285,5146,4469,4344,4706
"Atp6v0d2",116,134,125,142,142,46,10,350,108,16,0,124,90,0,0
"Atp6v0e",3743,3655,5308,3888,5503,4410,3892,5872,3739,4646,6448,8533,6534,4571,5345
"Atp6v0e2",2989,2097,2891,2908,1863,2502,2355,2983,2481,3012,2397,2420,2446,2734,2725
"Atp6v1a",5264,7842,10744,6614,13671,8061,6541,9746,7953,9122,8988,10409,11175,5892,6731
"Atp6v1b1",0,0,8,0,1,1,4,1,5,1,0,0,0,0,0
"Atp6v1b2",5899,6406,8797,5941,9855,9227,6557,9454,8730,8530,9927,11109,10947,9467,9839
"Atp6v1c1",4635,5156,6655,5361,7224,6676,4877,7526,6286,6206,7411,8059,7867,5499,6186
"Atp6v1c2",160,381,6254,255,4415,8230,6552,6437,6931,7834,17624,19834,19518,13983,12455
"Atp6v1d",2762,3406,4772,3146,5268,4591,3561,5670,3802,4843,6349,8718,6829,3948,4284
"Atp6v1e1",5139,5103,7287,5717,9252,7782,6024,9709,6821,7541,8905,11086,8802,6699,7231
"Atp6v1e2",0,0,1,2,0,0,0,3,3,0,0,0,0,18,0
"Atp6v1f",3039,1892,3283,3200,3423,2711,2744,2916,2045,2487,3241,3677,3415,2688,3305
"Atp6v1g1",3695,3051,3166,3428,3887,2081,1964,2791,1866,2459,3162,4114,3062,2774,3054
"Atp6v1g2",144,66,321,64,243,254,249,223,242,277,330,529,310,193,268
"Atp6v1g3",0,0,88,0,60,34,31,232,25,28,6,42,21,0,1
"Atp6v1h",4995,6374,7592,6473,7609,9916,6004,9146,8732,7826,9626,10605,11326,7635,7611
"Atp7a",6240,7307,11187,8452,12237,12687,9703,13514,12816,9285,5737,5703,7455,6013,4857
"Atp7b",16,95,154,55,111,23,154,83,55,213,129,27,100,172,158
"Atp8a1",927,3278,4680,1650,5652,5732,4987,7284,5839,6854,5675,8025,6754,3312,4520
"Atp8a2",177,195,238,207,491,327,231,198,404,158,273,76,239,0,59
"Atp8b1",6146,4542,6903,7429,7061,13859,6873,12664,13249,8894,8247,6548,8410,4092,4924
"Atp8b2",4829,6162,2740,5053,5790,3613,1341,2846,3780,1524,1737,1981,2172,1206,1902
"Atp8b3",29,7,32,17,35,0,9,0,7,4,4,0,10,0,63
"Atp8b4",279,702,395,396,662,24,29,5,27,71,184,481,297,106,104
"Atp8b5",90,101,12,31,28,19,38,34,50,17,42,14,46,155,19
"Atp9a",1212,1847,7745,1565,3582,7098,5167,9029,6885,5758,5790,6009,5520,8526,6408
"Atp9b",4037,5052,6718,4401,6155,8473,5243,6753,8740,5319,5215,4756,7173,5147,4304
"Atpaf1",163,116,214,134,154,232,185,200,173,137,154,168,220,126,180
"Atpaf2",1133,1228,1448,1182,1468,1452,1174,1735,1208,1577,1475,1540,1371,1521,1435
"Atpbd4",1557,1569,1229,1957,1728,1255,915,1675,1039,1131,1334,1932,1413,994,1287
"Atpif1",2026,1291,5157,2197,4473,4140,4358,4854,2852,5179,4869,5270,4575,3766,5563
"Atr",1727,2189,2128,2153,2647,2762,2233,3093,2879,2881,2127,2734,3795,456,803
"Atraid",5300,3735,2437,5702,3330,2497,2026,3034,2335,2611,3365,3583,3401,2139,2476
"Atrip",1113,909,946,1046,990,1103,945,1501,938,1204,1124,1311,1153,1337,1114
"Atrn",1379,2680,3047,1590,3221,3332,2748,4253,3424,3298,2564,3223,3124,3176,2472
"Atrnl1",3341,4084,1198,4440,4329,622,719,1448,848,961,279,553,501,631,1499
"Atrx",8745,8187,6988,11212,13499,10221,8104,13208,9955,9904,7684,10110,9529,1922,5245
"Atxn1",315,364,944,401,850,867,778,796,868,729,585,648,643,895,746
"Atxn10",6396,7625,8435,6877,8730,7731,6172,10445,7352,7708,7136,9252,7917,8917,9964
"Atxn1l",184,510,447,398,706,635,444,617,605,626,426,240,612,703,514
"Atxn2",2354,2962,3524,2894,3530,3977,3181,3127,4346,2961,2310,2185,3568,2301,3190
"Atxn2l",2646,2598,4869,2863,5533,5488,5033,4143,5665,4564,3189,3200,3681,5795,5608
"Atxn3",857,1485,2115,1496,2294,3675,2131,3542,3216,3031,2737,1951,3465,1168,1771
"Atxn7",1646,2283,2949,2142,3279,5122,2396,3768,5482,2355,2374,1721,3638,1108,2160
"Atxn7l1",935,1480,1066,1163,2369,807,599,949,722,1037,683,1210,945,852,1106
"Atxn7l2",507,567,414,411,632,497,425,466,394,373,336,293,325,543,499
"Atxn7l3",409,684,742,823,1339,584,511,740,660,612,391,495,618,655,976
"Atxn7l3b",5445,6013,5240,5754,6845,4639,3568,6116,4219,3336,4382,4796,4547,3318,3974
"Auh",1297,1250,2395,1728,1911,2293,1902,2666,2233,2447,1913,2731,2334,1923,2695
"Aup1",5342,6014,6871,5226,6403,6474,5061,6816,6045,5535,6454,7198,6700,6533,7237
"Aurka",683,920,1392,465,2096,502,1005,947,512,1301,359,484,476,1334,1528
"Aurkaip1",2101,1827,3026,1744,3157,2099,2500,2671,1622,2716,3304,4463,2627,3036,3397
"Aurkb",239,498,1121,157,1811,316,1060,1672,260,1175,377,1007,108,1343,1535
"Aurkc",0,0,1,0,20,0,0,0,2,9,15,18,7,19,19
"Auts2",591,515,468,422,1191,966,616,887,748,516,246,133,338,221,395
"Aven",802,966,929,898,862,814,622,777,661,627,495,1112,741,857,1100
"Avil",33,12,8,13,62,1,2,1,15,13,1,0,0,8,1
"Avl9",3449,5110,5341,4385,5630,9330,6161,9265,9583,6726,6830,6851,8724,2664,3851
"Avp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avpi1",509,667,2063,561,1843,2784,1302,2583,2330,1554,2071,1588,2527,1389,2095
"Avpr1a",949,1745,327,1168,335,0,39,32,9,1,0,0,24,1,0
"Avpr1b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Avpr2",0,2,0,0,0,0,0,0,0,0,19,0,35,1,0
"Awat1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Awat2",5,14,71,19,12,8,2,18,13,9,45,27,29,30,0
"Axin1",4534,4986,10786,4780,6906,11193,7527,7301,11004,7588,6237,4109,7881,9229,8607
"Axin2",291,360,176,476,478,160,208,235,152,170,336,420,255,216,618
"Axl",59427,95805,10882,67367,37649,685,622,1041,707,924,4865,7091,6003,1114,4201
"Aym1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azgp1",88,500,7050,249,4104,6584,4912,6272,5385,6976,16414,20864,16336,9933,9072
"Azi1",757,1064,1148,830,1509,807,740,896,671,1159,688,799,684,1507,1809
"Azi2",3938,4759,4958,4660,5863,7741,4849,7349,6690,5894,5609,6275,7760,3574,3955
"Azin1",29576,20983,120255,39023,54142,357259,127438,207650,364274,105317,154171,70266,221510,85406,65768
"B020004C17Rik",0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"B020004J07Rik",0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
"B020014A21Rik",0,0,0,0,0,6,0,0,1,6,0,0,0,19,0
"B020018J22Rik",0,0,0,12,1,0,0,0,0,0,0,0,8,0,0
"B020031M17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B130006D01Rik",1,29,19,39,57,2,7,39,23,33,56,12,18,46,0
"B130024G19Rik",677,492,27,708,397,35,16,30,31,45,93,71,73,36,48
"B130034C11Rik",31,27,39,9,26,24,4,45,15,14,16,25,64,41,42
"B230118H07Rik",619,434,567,548,705,395,353,554,332,616,983,1433,958,533,670
"B230119M05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B230120H23Rik",4107,3867,6635,6062,4895,9061,5686,6280,9476,4427,3045,2049,5375,3646,2993
"B230206H07Rik",3,12,417,22,174,501,327,364,510,331,252,229,379,346,251
"B230208H11Rik",84,32,11,139,44,29,29,2,4,24,4,20,2,26,60
"B230209E15Rik",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"B230209K01Rik",0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
"B230214G05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B230216G23Rik",13,5,16,31,13,4,0,0,0,4,10,0,0,0,0
"B230216N24Rik",55,11,37,30,68,44,35,43,45,36,31,72,42,0,21
"B230217C12Rik",258,354,98,362,193,14,52,26,13,42,15,4,7,27,113
"B230217O12Rik",46,66,23,61,34,17,1,4,11,17,4,0,8,20,26
"B230219D22Rik",6407,7805,9496,7144,9744,14015,8833,12063,13214,9397,7131,6431,9792,3306,6634
"B230312C02Rik",57,37,0,66,32,0,0,0,0,0,0,0,0,0,10
"B230319C09Rik",11,1,0,6,18,19,6,7,12,4,40,27,13,18,0
"B230323A14Rik",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B230378P21Rik",36,54,80,48,164,4,12,16,2,1,40,43,46,1,13
"B2m",119306,94850,229649,163823,234413,288281,261402,322709,232869,264125,285730,316971,299175,129956,188870
"B330016D10Rik",285,266,323,413,476,503,348,301,500,474,293,242,420,446,451
"B3galnt1",2465,2649,1024,2304,2424,456,587,648,508,942,358,484,549,478,817
"B3galnt2",2347,2669,2957,2164,3109,5035,2658,4572,5012,3599,3790,3783,5046,2148,1924
"B3galt1",483,334,37,355,878,1,0,6,14,50,13,0,39,91,105
"B3galt2",62,43,88,62,64,47,33,173,20,42,3,18,19,0,13
"B3galt4",88,228,314,87,214,112,126,214,127,177,237,290,178,213,226
"B3galt5",253,217,39,127,63,0,0,135,8,33,166,296,375,0,0
"B3galt6",568,844,784,489,860,569,537,651,505,746,952,1856,854,763,1062
"B3galtl",790,970,478,865,1012,395,459,599,369,513,170,347,350,392,404
"B3gat1",0,0,1,0,5,0,0,0,0,0,0,0,0,0,0
"B3gat2",53,42,35,28,46,77,28,42,21,51,39,24,72,10,48
"B3gat3",1589,2064,2374,1500,2070,2332,1702,2319,1899,2116,1932,2228,1842,2430,2000
"B3gnt1",2498,3420,895,2623,1897,286,372,716,282,487,523,1066,388,718,806
"B3gnt2",8193,8544,9151,10104,9160,8726,6489,9320,8378,6988,6555,7375,8155,6895,7004
"B3gnt3",198,287,2218,91,1050,2558,1337,3771,2448,1720,353,593,597,608,759
"B3gnt4",50,49,33,66,55,60,19,40,37,31,54,35,25,20,44
"B3gnt5",172,1497,391,402,2347,78,36,38,76,150,226,157,289,120,630
"B3gnt6",4,17,39,3,148,29,39,27,7,6,4,0,12,67,16
"B3gnt7",4,234,1535,78,778,483,774,1169,529,998,1672,4178,1440,2308,1518
"B3gnt8",725,1243,352,642,541,90,95,432,85,102,419,624,479,174,193
"B3gnt9",2573,3882,369,2491,1515,12,23,25,12,39,49,86,88,34,124
"B3gntl1",784,782,789,802,801,750,445,1123,858,835,821,982,903,629,743
"B430010I23Rik",72,69,214,15,147,167,214,274,158,202,130,303,123,109,220
"B430212C06Rik",46,37,58,32,42,16,14,6,6,26,13,2,8,26,0
"B430306N03Rik",36,108,19,77,264,1,1,0,5,54,18,28,34,0,156
"B430319G15Rik",342,259,77,422,265,34,12,34,18,31,29,12,26,0,21
"B4galnt1",1233,3519,8580,1253,5152,6351,5917,11137,6044,7372,4883,6562,4485,7517,7434
"B4galnt2",338,211,12222,603,4482,27389,13017,19681,26883,15956,10495,4529,13491,7384,8141
"B4galnt3",0,3,116,0,128,225,132,273,191,232,32,57,76,47,35
"B4galnt4",303,340,49,269,187,81,19,51,53,44,74,0,55,48,90
"B4galt1",4544,6589,12304,5672,8969,11411,9780,11380,11761,9076,6013,6508,8720,9214,8468
"B4galt2",1384,1702,313,1444,1343,155,116,235,146,207,55,157,111,2,320
"B4galt3",1307,1424,4305,1322,3024,4480,3288,4116,4377,3725,3105,3043,3480,4195,4154
"B4galt4",586,1023,4443,600,3450,5150,4032,8060,4573,6803,5436,8148,4615,5067,5037
"B4galt5",2018,2223,2872,3096,5089,2092,1806,1570,2002,1493,1642,1497,2217,1720,2276
"B4galt6",237,377,2265,326,1949,3720,2990,3532,3691,3251,1117,954,1760,1069,1495
"B4galt7",616,1080,831,459,972,570,393,673,477,591,638,623,518,555,527
"B630005N14Rik",3404,3378,1896,4496,3978,3318,1645,2875,2995,2629,3236,2439,3449,806,1432
"B630019K06Rik",158,374,224,254,180,71,41,164,78,53,132,108,112,113,137
"B830017H08Rik",0,0,2,1,0,0,0,0,0,0,0,1,0,0,0
"B930003M22Rik",73,30,29,116,136,20,8,12,37,16,38,61,42,43,29
"B930018H19Rik",0,0,18,0,0,5,9,9,14,3,6,0,5,0,0
"B930025P03Rik",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B930041F14Rik",1463,1283,613,1285,910,326,388,634,256,643,461,732,306,865,1164
"B930059L03Rik",164,140,54,198,114,67,78,105,94,106,105,110,166,111,110
"B930092H01Rik",0,0,6,0,0,6,1,9,0,0,0,0,0,0,0
"B9d1",285,222,297,194,318,178,257,284,173,328,262,396,288,351,303
"B9d2",623,511,316,608,458,124,154,158,110,162,113,156,139,106,174
"BB014433",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"BB019430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB031773",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB123696",2,18,77,54,42,33,39,74,36,64,0,25,0,10,32
"BB283400",0,0,0,0,0,0,0,0,4,0,0,1,0,0,0
"BB287469",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BB557941",0,0,2,5,12,7,1,33,14,11,26,22,63,11,56
"BC002163",271,167,341,264,420,220,350,370,204,328,404,500,300,288,490
"BC003331",3270,2971,3383,3829,4874,4746,3737,5377,4121,4926,7038,8884,7332,2027,3005
"BC003965",1143,1072,1258,805,1767,1150,1187,1463,946,1504,1715,1997,1483,1212,1392
"BC004004",2324,2974,3358,2882,3147,3106,2373,4247,2503,3334,3159,4303,3286,2456,2769
"BC005537",766,639,834,1080,1659,1447,1028,920,1482,1104,873,935,1319,732,1023
"BC005561",3169,2751,4128,3687,4903,9217,5286,7919,9003,4465,7176,5041,9557,1447,2714
"BC005624",1941,1932,1716,2001,2381,1578,1229,1890,1442,1592,1807,2281,1907,1508,1951
"BC005764",785,569,263,841,700,282,164,285,280,243,181,183,293,263,356
"BC006965",0,0,3,0,3,11,6,3,3,2,10,9,20,0,0
"BC016423",2745,4201,4867,3888,5783,9839,5266,6996,9702,6277,5934,5093,8940,1635,3241
"BC016579",75,317,21264,418,6564,26085,21739,21711,25170,17083,14538,7894,20960,23703,14261
"BC017158",1351,1530,1239,1063,1176,1066,1075,1678,1076,1164,1380,1964,1425,1796,1565
"BC017612",171,61,725,227,823,1451,1036,1794,1255,1471,666,535,832,555,1116
"BC017643",2835,3555,2409,2731,3033,2905,2231,3018,2970,2922,2885,2467,3032,1855,2092
"BC018242",186,437,232,174,445,299,273,304,262,246,190,50,182,232,488
"BC018473",0,1,0,0,4,3,4,0,1,0,0,0,0,6,0
"BC018507",1497,2713,1629,2326,2399,4018,2178,3121,3947,2408,2494,2160,2870,1402,1560
"BC020402",223,222,176,420,336,364,243,345,284,319,292,157,229,258,393
"BC021614",7,21,11,22,37,0,0,0,0,3,6,7,26,0,0
"BC021767",22,29,331,13,319,335,367,327,385,326,239,212,295,307,217
"BC021785",2,27,15,2,36,1,14,2,2,10,7,31,29,30,22
"BC021891",20,26,264,0,268,125,411,225,218,235,287,344,269,254,278
"BC022687",290,342,304,200,457,300,258,257,280,251,199,290,202,235,771
"BC023829",1865,2735,2185,2431,2063,3100,1716,2975,2999,2039,2044,2334,2300,2019,2494
"BC024139",3,5,4,0,4,20,1,15,3,15,29,0,11,0,4
"BC024386",0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
"BC024582",32,17,19,14,34,3,0,0,9,0,12,20,22,0,2
"BC024978",9,36,26,30,30,28,28,33,20,3,18,42,42,28,35
"BC025920",1,43,13,12,71,32,11,70,31,52,13,29,46,34,1
